6539,36610,1076928
6635,36826,1076736
6723,37024,1076736
6811,37222,1076736
6983,37614,1076672
7177,37523,1076800
7364,37413,1076800
7568,37293,1076864
[与阿诛对话]
7608,37267,1076864
7747,37418,1076800
7956,37432,1076736
8165,37443,1076672
8371,37454,1076672
8580,37465,1076672
8787,37476,1076736
8996,37487,1076736
9077,37435,1076800
[找阳宝哥询问书卷下落]
9080,37460,1076800
9671,37317,1076864
9880,37295,1076864
10089,37273,1076864
10308,37230,1076864
[村中武师刘大海]
10215,36671,1076864
10246,36879,1076864
10268,37088,1076864
10308,37230,1076864
[答谢陈尚大夫]
10394,37193,1076864
10471,36995,1076864
10548,36797,1076800
10623,36601,1076736
10700,36403,1076736
10777,36205,1076672
10854,36007,1076544
10967,35833,1076480
11056,35715,1076416
[探一探张大眼的口风]
11009,35725,1076416
11009,35517,1076096
10961,35320,1075968
10939,34911,1075136
10805,32505,1070400
10783,32297,1070208
10809,32084,1069824
10799,31882,1069504
10788,31675,1068672
10853,31117,1067584
10573,30920,1067200
[混混2/3]
10541,30944,1067264
10332,30977,1067456
10123,31010,1067840
9916,31043,1068096
9707,31076,1068160
9498,31109,1068288
9465,30900,1068160
[混混3/3]
9450,30805,1068224
9253,30717,1068224
9078,30604,1068224
8973,30429,1068224
8794,30319,1068288
[交任务]
8660,30241,1068352
8792,30406,1068288
8924,30571,1068224
9056,30736,1068224
9188,30901,1068224
9353,31039,1068160
9561,31061,1068224
9770,31077,1068160
9971,31038,1067968
10179,31048,1067776
10391,31054,1067392
10514,30961,1067264
[求助万花紫晴姑娘]
10548,30960,1067264
10589,30764,1067008
10622,30550,1066304
10499,29332,1062848
10477,29126,1062144
10455,28922,1061568
10419,28721,1060864
10363,28523,1060288
10327,28309,1059648
10292,27925,1059264
[采集凝血草]
10306,27915,1059264
10231,27719,1059136
10135,27524,1058496
10035,27349,1058112
[采集凝血草]
10024,27295,1057920
9899,27117,1057408
9781,26952,1057216
9668,26842,1056960
[采集凝血草]
9661,26782,1056704
9443,26794,1056640
9236,26805,1056512
[将凝血草交给紫晴]
9164,26795,1056576 
9558,27038,1057408 
9943,27355,1058112 
10134,27557,1058624 
10254,27871,1059264 
[止血药送给小月]
10337,28076,1059264
10622,28219,1059264
10661,28184,1059200
11033,27613,1057984
11372,27313,1057600
11760,27178,1057408
12502,27165,1056960
13294,27286,1056448
14026,27182,1055744
14770,26724,1055232
[询问猎户张忠]
14763,26714,1055232
14851,26912,1055168
14937,27108,1055040
15025,27306,1054976
15108,27499,1055104
15191,27692,1055296
15274,27885,1055168
15186,28035,1055488
[将杂粮粥送给村长]
15234,28053,1055360
15441,28064,1055104
15650,28075,1054848
15859,28086,1054656
16068,28097,1054528
16277,28108,1054464
16486,28119,1054400
16695,28130,1054400
16984,28123,1054400
[问计李复]
16924,28136,1054400
16726,28059,1054336
16528,27982,1054400
16331,27906,1054400
16133,27829,1054336
16101,27626,1054208
16244,27472,1054144
16387,27318,1054080
16530,27164,1054016
16670,27004,1053952
16811,26841,1053888
16940,26670,1053888
17080,26508,1053888
17223,26343,1053888
17364,26180,1053824
17507,26015,1053888
17650,25850,1053824
17793,25685,1053888
17949,25549,1053888
18125,25438,1053952
18296,25322,1053952
18439,25176,1053952
19045,24599,1054144
[与李复对话]
18810,24812,1053952
18974,24680,1054080
19045,24599,1054144
[与李复对话]
18810,24812,1053952
18974,24680,1054080
19045,24599,1054144
[用轻功寻找张强]
24644,17787,1048256
23128,18042,1047424
22812,18105,1047552
[野林巡逻贼]
22815,18123,1047552
22618,18210,1047552
22422,18296,1047616
22224,18384,1047744
22024,18423,1047808
21826,18499,1047872
21626,18532,1047872
21421,18512,1047872
21212,18486,1047808
21003,18442,1047744
[野林巡逻贼]
20984,18438,1047680
20886,18624,1047872
20749,18788,1048128
20649,18974,1048064
20477,19104,1048000
20303,19210,1047872
20215,19406,1047744
20127,19604,1047872
[野林巡逻贼]
20059,19730,1047872
19854,19708,1047744
19655,19749,1047744
19451,19738,1047616
[野林巡逻贼]
19265,19749,1047680
19113,19597,1047552
18959,19443,1047488
[野林巡逻贼]
18833,19317,1047488
19020,19229,1047552
19207,19141,1047680
19393,19053,1047680
[野林巡逻贼]
19428,19045,1047680 
